First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration(s)_appointee,Party_affiliation,Employer,FTC_seat,Education,Previous_position,Type_of_prev_position,Following_position,Type_of_following_position,Source,Source2,Source3,Notes
David,A. ,Clanton,,Acting chair/commissioner,,1976,1983,,R,FTC,4,JD,"Legislative assistant to the assistant Senate minority leader; previously: minority staff council for Senate Commerce, legislative assistant to Sen Griffin",Government,Law firm (Baker McKenzie),Law firm,Wiki,Super Lawyers profile,NYT2,"NYT2: ""In fact, a study of the commission by Mr. Reagan's transition team had recommended that neither Mr. Clanton nor Patricia Bailey, the commission's other Republican, be appointed chairman because neither shared ''the President's basic philosophy.''""; also quite young"
Calvin,J.,Collier,,Commissioner,,1976,1977,,R,FTC,3,LLB,"FTC's general counsel; previously: associate director of OMB with purview over FTC under Ford, director of urban program coordination for Dept of HUD, law clerk for DC court of appeals",Government,"Law firm (Kirkland, Ellis, Hodson, Chaffetz & Masters, Hughes Hubbard), various positions at Kraft Inc. (Senior VP, General Counsel, Secretary)",Law firm,Wiki,NYT,Prabook,"NYT: ""A young lawyer of some note among Government officials but anonymous by national standards"", ""youngest person ever"""
John,H. ,Shenefield,,AAG antitrust,,1977,1979,Carter,NA,DOJ,NA,LLB,"Deputy Assistant Attorney General of antitrust (?); previously: law firm (Hunton and Williams), professor of economics",Government,"Law firm (Morgan, Lewis & Bockius)",Law firm,Wiki,NYT,,
Michael,,Pertschuk,,Chair/commissioner,,1977,1984,,D,FTC,5,JD,"Chief counsel/staff director of Senate Commerce; previously: legislative assistant for OR Senator, law firm (Hart, Rockwood, Davies, Biggs & Strayer), law clerk for district court judge",Government,"scholar in-residence at Wilson Center, founder/co-director of Advocacy Institute",Academia,Wiki,NYT,NYT1,"Controversial figure, fought with Congress about role of FTC, quoted in NYT: ""The current FTC leadership [Chairman Miller] has been consumed with single-minded determination to undo the past... the very foundation of antitrust""; NYT1 notes lack of staff available "
Robert,,Pitofsky,,Commissioner,,1978,1981,,D,FTC,3,LLB,"Law firm (Dewey Ballantine?); previously: director of Bureau of Consumer Protection, lecturer (NYU Law), law firm (Dewey, Ballantine, Bushby, Palmer & Wood), civil appellate division of DOJ",Law firm,"Professor/dean (Georgetown), law firm (Arnold & Porter), visiting lecturer at Columbia",Academia,NYT obit,Wiki,FTCWatch,
Sanford,,Litvack,,AAG antitrust,,1979,1981,Carter,NA,DOJ,NA,LLB,Law firm; previously: participated in AG honors program at DOJ,Law firm,"Law firms, Disney general counsel",Law firm,Law.com,,,
Patricia,P.,Bailey,,Commissioner,,1979,1988,,R,FTC,1,"JD, MA","Executive legal assistant to the General Counsel at the Merit Systems Protection Board; previously: special assistant to AAG for Improvements in the Administration of Justice at DOJ, Rockefeller campaign staff, staff assistant in House for Rep Morse, worked several positions at USAID",Government,"Law firm (Squire, Sanders and Dempsey)",Law firm,APP,CSPAN,,Wife of political advisor to influential Senator
William,,Baxter,,AAG antitrust,,1981,1983,Reagan,NA,DOJ,NA,LLB,Professor (Stanford Law); Citibank consultant,Academia,Professor (Stanford Law),Academia,NYT,,,
James,C.,Miller,III,Chair,,1981,1985,,R,FTC,2,"BBA, PhD (economics)","executive director of VP GHWB's Presidential Task Force on Regulatory Relief; previously: administrator of the Office of Information and Regulatory Affairs, scholar/co-director of AEI's center on government regulation, assistant professor",Government,"Budget Director for Reagan, law firms (Howrey, Husch Blackwell), member of Board of Governors of the U.S. Postal Service, private equity, scholar",Government,Personal website,NYT,Wiki,"NYT: ""But his thoughts of leaving predate all that. Mr. Miller is not a rich man, and he needs a higher salary to help him pay the tuitions of three children."""
George,W.,Douglas,,Commissioner,,1982,1985,,D,FTC,3,PhD (economist),"President of Southwest Econometrics; previously: Brookings fellowship at Dept of Transportation, professor (UNC)",Industry,Economics business (assuming continuation of Southwest Econometrics),Industry,NYT,obit in local paper,,Also younger
J.,Paul,McGrath,,AAG antitrust,,1983,1985,Reagan,NA,DOJ,NA,LLB,"AAG of Civil Division; previously: law firm partner (Dewey, Ballantine, Bushby & Wood)",Government,"General counsel at various corporations (AlliedSignal Engineered Materials, FMC Corporation, etc)",Industry,NYT,NJ Star-Ledger obit,,
Terry,,Calvani,,Acting chair/commissioner,,1983,1990,,R,FTC,4,JD,Professor (Vanderbilt Law); previously: law firm (Pillsbury),Academia,"Law firms (Pillsbury, Freshfields Bruckhaus Deringer), on Ireland's FTC equivalent",Law firm,Wiki,,,
Mary,L.,Azcuenaga,,Commissioner,,1984,1998,,Independent,FTC,5,Law,Assistant General Counsel for Legal Counsel at FTC; previously: staff lawyer for FTC (various positions),Government,"Law firm (Heller Ehrman, Baker & McKenzie), independent consultant for regulatory reform",Law firm,FTC bio,LinkedIn,,
Douglas,H. ,Ginsburg,,AAG antitrust,,1985,1986,Reagan,NA,DOJ,NA,"JD, BS","Principal Deputy AAG of antitrust; previously: Administrator of Office of Info and Regulatory Affairs, OMB in Reagan administration, professor at Harvard Law",Government,"Federal judge (DC Court of Appeals), adjunct at George Mason law, nominated for SCOTUS",Government,link,,,
Charles,,Rule,,AAG antitrust,,1986,1989,Reagan,NA,DOJ,NA,JD,Principal Deputy Assistant Attorney General of antitrust; previously: federal clerk,Government,"Law firms (Covington Burling, Fried Frank, Cadwalader, Paul Weiss)",Law firm,Paul Weiss,ABA Journal,,"""antitrust rainmaker"""
Andrew,J.,Strenio,Jr.,Commissioner,,1986,1991,,D,FTC,3,"JD, MPP","member of the Interstate Commerce Commission; previously: assistant director for regulatory evaluation at FTC, staff economist/lawyer for President's Council of Economic Advisers",Government,"Law firm (Fox, Bennett & Turner)",Law firm,NYT1,NYT2,Bloomberg bio,Also very young
Daniel,,Oliver,,Chair,,1986,1989,,R,FTC,2,LLB,"Reagan admin General Counsel of the Department of Agriculture; previously: General Counsel at the Department of Education, director of American Conservative Union, law firm (Hawkins, Delafield & Wood, Alexander & Green)",Government,"Fellow at Heritage Foundation, other think-tanks, chairman of private company",Academia,Wiki,Independent Institute,Prabook,
