usCite,caseName,dateDecision,majOpinWriter,majVotes,minVotes,vote_JHarlan2,vote_HLBlack,vote_WODouglas,vote_PStewart,vote_TMarshall,vote_WJBrennan,vote_BRWhite,vote_WEBurger,vote_HABlackmun,vote_LFPowell,vote_WHRehnquist,vote_JPStevens,vote_SDOConnor,vote_AScalia,vote_AMKennedy,vote_DHSouter,vote_CThomas,vote_RBGinsburg,vote_SGBreyer,vote_JGRoberts,vote_SAAlito,vote_SSotomayor,vote_EKagan
468 U.S. 85,NATIONAL COLLEGIATE ATHLETIC ASSOCIATION v. BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA et al.,6/27/1984,103,7,2,NA,NA,NA,NA,1,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471 U.S. 34,TOWN OF HALLIE et al. v. CITY OF EAU CLAIRE,3/27/1985,101,9,0,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471 U.S. 48,"SOUTHERN MOTOR CARRIERS RATE CONFERENCE, INC., et al. v. UNITED STATES",3/27/1985,101,7,2,NA,NA,NA,NA,1,1,2,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472 U.S. 284,"NORTHWEST WHOLESALE STATIONERS, INC. v. PACIFIC STATIONERY & PRINTING CO.",6/11/1985,92,7,0,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472 U.S. 585,ASPEN SKIING CO. v. ASPEN HIGHLANDS SKIING CORP.,6/19/1985,103,8,0,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475 U.S. 260,"FISHER et al. v. CITY OF BERKELEY, CALIFORNIA, et al.",2/26/1986,98,8,1,NA,NA,NA,NA,1,2,1,1,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475 U.S. 574,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD, et al. v. ZENITH RADIO CORP. et al.",3/25/1986,101,5,4,NA,NA,NA,NA,1,2,2,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476 U.S. 447,FEDERAL TRADE COMMISSION v. INDIANA FEDERATION OF DENTISTS,6/2/1986,95,9,0,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479 U.S. 104,"CARGILL, INC., et al. v. MONFORT OF COLORADO, INC.",12/9/1986,92,6,2,NA,NA,NA,NA,1,1,2,NA,NA,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
479 U.S. 335,"324 LIQUOR CORP., DBA YORKSHIRE WINE & SPIRITS v. DUFFY et al.",1/13/1987,101,7,2,NA,NA,NA,NA,1,1,1,NA,1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
485 U.S. 717,BUSINESS ELECTRONICS CORP. v. SHARP ELECTRONICS CORP.,5/2/1988,105,6,2,NA,NA,NA,NA,1,1,2,NA,1,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
486 U.S. 492,"ALLIED TUBE & CONDUIT CORP. v. INDIAN HEAD, INC.",6/13/1988,92,7,2,NA,NA,NA,NA,1,1,2,NA,1,NA,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
486 U.S. 94,PATRICK v. BURGET et al.,5/16/1988,98,8,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
490 U.S. 93,CALIFORNIA et al. v. ARC AMERICA CORP. et al.,4/18/1989,95,7,0,NA,NA,NA,NA,1,1,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
493 U.S. 411,FEDERAL TRADE COMMISSION v. SUPERIOR COURT TRIAL LAWYERS ASSOCIATION et al.,1/22/1990,103,6,3,NA,NA,NA,NA,2,2,1,NA,2,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
495 U.S. 271,CALIFORNIA v. AMERICAN STORES CO. et al.,4/30/1990,103,9,0,NA,NA,NA,NA,1,1,1,NA,1,NA,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA
495 U.S. 328,ATLANTIC RICHFIELD CO. v. USA PETROLEUM CO.,5/14/1990,92,7,2,NA,NA,NA,NA,1,1,2,NA,1,NA,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
496 U.S. 543,"TEXACO INC. v. RICKY HASBROUCK, DBA RICK'S TEXACO, et al.",6/14/1990,103,9,0,NA,NA,NA,NA,1,1,4,NA,1,NA,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA
497 U.S. 199,KANSAS et al. v. UTILICORP UNITED INC.,6/21/1990,106,5,4,NA,NA,NA,NA,2,2,2,NA,2,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
499 U.S. 365,"CITY OF COLUMBIA et al. v. OMNI OUTDOOR ADVERTISING, INC.",4/1/1991,105,6,3,NA,NA,NA,NA,2,NA,2,NA,1,NA,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
500 U.S. 322,"SUMMIT HEALTH, LTD., et al. v. SIMON J. PINHAS",5/28/1991,103,5,4,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
504 U.S. 451,"EASTMAN KODAK COMPANY v. IMAGE TECHNICAL SERVICES, INC., et al.",6/8/1992,100,6,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA
504 U.S. 621,"FEDERAL TRADE COMMISSION v. TICOR TITLE INSURANCE COMPANY, et al.",6/12/1992,106,6,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,1,2,3,1,1,2,NA,NA,NA,NA,NA,NA
506 U.S. 447,"SPECTRUM SPORTS, INC., et al. v. SHIRLEY MCQUILLAN, ET VIR, DBA SORBOTURF ENTERPRISES",1/25/1993,95,9,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
508 U.S. 49,"PROFESSIONAL REAL ESTATE INVESTORS, INC., et al. v. COLUMBIA PICTURES INDUSTRIES, INC., et al.",5/3/1993,108,9,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,4,4,1,1,3,1,NA,NA,NA,NA,NA,NA
509 U.S. 209,BROOKE GROUP LTD. v. BROWN & WILLIAMSON TOBACCO CORPORATION,6/21/1993,106,6,3,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA
509 U.S. 764,"HARTFORD FIRE INSURANCE CO., et al. v. CALIFORNIA et al.",6/28/1993,105,5,4,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,2,1,1,1,2,1,NA,NA,NA,NA,NA,NA
518 U.S. 231,"ANTONY BROWN, et al. v. PRO FOOTBALL, INC., DBA WASHINGTON REDSKINS, et al.",6/20/1996,110,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA
522 U.S. 3,"STATE OIL COMPANY v. BARKAT U. KHAN AND KHAN & ASSOCIATES, INC.",11/4/1997,104,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
525 U.S. 128,"NYNEX CORPORATION, et al. v. DISCON, INCORPORATED",12/14/1998,110,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
526 U.S. 756,CALIFORNIA DENTAL ASSOCIATION v. FEDERAL TRADE COMMISSION,5/24/1999,107,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,1,2,2,NA,NA,NA,NA
540 U.S. 398,"VERIZON COMMUNICATIONS INC. v. LAW OFFICES OF CURTIS V TRINKO, LLP",1/13/2004,105,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,1,4,4,1,1,NA,NA,NA,NA
540 U.S. 736,UNITED STATES POSTAL SERVICE v. FLAMINGO INDUSTRIES (USA) LTD. et al.,2/25/2004,106,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
542 U.S. 155,"F. HOFFMANN-LA ROCHE LTD, et al. v. EMPAGRAN S.A. et al.",6/14/2004,110,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,4,1,1,4,1,1,NA,NA,NA,NA
546 U.S. 164,"VOLVO TRUCKS NORTH AMERICA, INC. v. REEDER-SIMCO GMC, INC.",1/10/2006,109,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,2,1,1,1,NA,NA,NA
547 U.S. 1,"TEXACO INC. v. FOUAD N. DAGHER, et al.",2/28/2006,108,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA
547 U.S. 28,"ILLINOIS TOOL WORKS INC., et al. v. INDEPENDENT INK, INC.",3/1/2006,103,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA
549 U.S. 312,"WEYERHAEUSER COMPANY v. ROSS-SIMMONS HARDWOOD LUMBER COMPANY, INC.",2/20/2007,108,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA
550 U.S. 544,"BELL ATLANTIC CORPORATION, et al. v. WILLIAM TWOMBLY, et al.",5/21/2007,107,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,1,2,1,1,1,NA,NA
551 U.S. 264,"CREDIT SUISSE SECURITIES (USA) LLC, FKA CREDIT SUISSE FIRST BOSTON LLC, et al. v. GLEN BILLING et al.",6/18/2007,110,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,1,2,1,1,1,1,NA,NA
551 U.S. 877,"LEEGIN CREATIVE LEATHER PRODUCTS, INC. v. PSKS, INC., DBA KAY'S KLOSET . . . KAY'S SHOES",6/28/2007,106,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,2,1,2,2,1,1,NA,NA
555 U.S. 438,"PACIFIC BELL TELEPHONE COMPANY, DBA AT&T CALIFORNIA et al. v. LINKLINE COMMUNICATIONS, INC., et al.",2/25/2009,111,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,4,1,4,4,1,1,NA,NA
560 U.S. 183,"AMERICAN NEEDLE, INC. v. NATIONAL FOOTBALL LEAGUE et al.",5/24/2010,103,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,NA
568 U.S. 216,"FEDERAL TRADE COMMISSION, PETITIONER v. PHOEBE PUTNEY HEALTH SYSTEM, INC., et al.",2/19/2013,113,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,1,1
569 U.S. 27,"COMCAST CORPORATION, et al., PETITIONERS v. CAROLINE BEHREND et al.",3/27/2013,105,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,2,1,1,2,2
570 U.S. 136,"FEDERAL TRADE COMMISSION, PETITIONER v. ACTAVIS, INC., et al.",6/17/2013,110,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,1,1,2,NA,1,1
570 U.S. 228,"AMERICAN EXPRESS COMPANY, et al., PETITIONERS v. ITALIAN COLORS RESTAURANT, et al.",6/20/2013,105,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,3,2,2,1,1,NA,2
574 U.S. 494,NC BD. OF DENTAL EXAMINERS v. FTC,2/25/2015,106,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,1,1,1,2,1,1
