First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration_appointee,Party_affiliation,Employer,FTC_seat,Education,Education_law,Education_LLB,Education_JD,Education_econ,Education_Phd,Education_other,Previous_position,Type_of_previous_position ,Generalized_previous_experience,Prev_exp_pol,Prev_exp_civil,Prev_exp_elect,Prev_exp_law_firm,Prev_exp_private_practice,Prev_exp_industry,Prev_exp_academia,Prev_exp_unclear,Following_position,Type_of_following_position,Generalized_following_experience,Follow_exp_pol,Follow_exp_civil,Follow_exp_elect,Follow_exp_law_firm,Follow_exp_private_practice,Follow_exp_academia,Follow_exp_industry,Follow_exp_unclear,Follow_exp_died_or_retired,Following_law_firms,Birth_year,Appointment_age,Appointment_age_rounded,Source,Source2,Source3,Notes
Earl,W.,Kintner,,Chair,,1959,1961,,R,FTC,2,Law,1,,,,,,"General Counsel of FTC; previously: trial attorney for FTC, other government positions, ",Government,Civil service,,1,,,,,,,Partner in law firm (Arent Fox Kintner Plotkin & Kahn),Law firm,Law firm,,,,1,,,,,,Arent Fox Kintner Plotkin & Kahn,1912,47,50,Wiki,Indiana law,,Directed law firm's antitrust practice
Philip,,Elman,,Commissioner,,1961,1970,,Independent,FTC,5,Law,1,,,,,,"Assistant to US Solicitor General; previously: DOJ staff lawyer, SCOTUS and federal judge clerk, FCC staff lawyer",Government,Civil service,,1,,,,,,,"Law firm (Wald Harkrader & Ross), taught law (Georgetown)",Law firm,Law firm,,,,1,,,,,,Wald Harkrader & Ross,1918,43,40,Wiki,NYT obit,Book (pg 391),
Robert,E.,Freer,,Chair (x3)/commissioner,,1935,1948,,R,FTC,1,"LLB, LLM",1,1,,,,,"special counsel for the Senate Committee for Interstate Commerce; previously: attorney at Interstate Commerce Commission, Army, private law practice",Government,Civil service,,1,,,,,,,"Law firm (unclear), hearing examiner for Federal Power Commission",Law firm,Law firm,,,,1,,,,,,unclear,1896,39,40,NYT,Wiki,NYT2,"""quit to 'create financial security for my family'"" (NYT2)"
Sigurd,,Anderson,,Commissioner,,1955,1964,,R,FTC,1,LLB,1,1,,,,,"Governor of SD; previously: AG of SD, state attorney in SD, law practice",Government,Electoral,,,1,,,,,,"Law firm (unclear), SD circuit judge","Law firm, political",Law firm,,,,1,,,,,,Unclear,1904,51,50,Wiki,South Dakota Uni,,
Stephen,A. ,Nye,,Commissioner,,1974,1976,,R,FTC,5,JD,1,,1,,,,"Law firm partner and antitrust litigator (Sullivan, Jones and Archer); previously: general counsel of Competitive Capital Fund, law firm (Pillsbury)",Law firm,Law firm,,,,1,,,,,"Law firm (Howrey and Simon), died",Law firm,Law firm,,,,1,,,,,,Howrey & Simon,1936,38,40,WaPo obit,,,
Edith,,Ramirez,,Chair/commissioner,,2010,2017,,D,FTC,1,JD,1,,1,,,,Law firm (Quinn Emanuel Urquhart & Sullivan/Gibson Dunn & Crutcher); previously: federal court clerk,Law firm,Law firm,,,,1,,,,,Law firm (Hogan Lovells),Law firm,Law firm,,,,1,,,,,,Hogan Lovells,1967,43,40,Wiki,Bloomberg,,
Renata,,Hesse,,AAG antitrust,No,2012,2013,acting,NA,DOJ,NA,JD,1,,1,,,,Law firm (Wilson Sonsini Goodrich & Rosati) ,Law firm,Law firm,,,,1,,,,,Law firm (Sullivan & Cromwell),Law firm,Law firm,,,,1,,,,,,Sullivan & Cromwell,1963,49,50,Intercept,Law profile,Bloomberg,
Miles,W.,Kirkpatrick,,Chair,,1970,1973,,R,FTC,4,Law,1,,,,,,"Law firm as antitrust specialist (Morgan, Lewis & Brockius), led ABA investigation of FTC",Law firm,Law firm,,,,1,,,,,"Law firm (unclear likely Morgan, Lewis & Brockius)",Law firm,Law firm,,,,1,,,,,,Morgan Lewis & Brockius,1919,51,50,Wiki,NYT obit,NYT1,"NYT obit: ""[Kirkpatrick] commission that examined the F.T.C. ... concluded that too many high-level employees were incompetent or were do-nothings, and that the commission wasted time pursuing ''trivial matters.''""; Nixon not sad to see him go"
James,F.,Rill,,AAG antitrust,,1989,1992,GHWB,NA,DOJ,NA,LLB,1,1,,,,,"Senior partner of law firm (Collier, Shannon Rill & Scott); chair of ABA section on antitrust",Law firm,Law firm,,,,1,,,,,"Law firms (Collier Shannon Rill & Scott, Howery, Baker Botts), appointed by AG Reno to co-chair International Competition Policy Advisory Committee in 1997",Law firm,Law firm,,,,1,,,,,,"Collier Shannon Rill & Scott, Howery, Baker Botts",1936,53,50,Justice,interview,Baker Botts profile,IPAC report
William,,Baer,,AAG antitrust,Yes,2012,2016,Obama,NA,DOJ,NA,JD,1,,1,,,,Law firm (Arnold & Porter); previously: worked for the FTC,Law firm,"Law firm, civil service",,1,,1,,,,,Law firm (Arnold & Porter),Law firm,Law firm,,,,1,,,,,, Arnold & Porter,1950,62,60,link,,,
